ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300832.SZ,20251020,61.3,61.53,60.03,60.99,60.94,0.05,0.082,28219.11,170958.523
300832.SZ,20251021,61.05,62.2,60.65,61.81,60.99,0.82,1.3445,25858.72,159142.074
300832.SZ,20251022,61.8,62.88,61.6,62.2,61.81,0.39,0.631,21981.3,137043.047
300832.SZ,20251023,62.0,62.78,60.89,61.77,62.2,-0.43,-0.6913,24089.76,148361.017
300832.SZ,20251024,62.06,62.3,61.08,61.91,61.77,0.14,0.2266,28033.0,172790.114
300832.SZ,20251027,61.72,62.47,60.7,61.16,61.91,-0.75,-1.2114,45547.52,279530.07
300832.SZ,20251028,61.02,61.87,60.6,60.89,61.16,-0.27,-0.4415,28022.0,171364.384
300832.SZ,20251029,61.32,61.89,60.08,60.6,60.89,-0.29,-0.4763,35004.66,212720.997
300832.SZ,20251030,60.8,61.49,60.5,60.51,60.6,-0.09,-0.1485,34629.8,210610.213
300832.SZ,20251031,60.75,61.99,59.91,61.0,60.51,0.49,0.8098,37633.2,229684.169
300832.SZ,20251103,61.21,63.4,60.3,62.68,61.0,1.68,2.7541,50237.93,310471.17
300832.SZ,20251104,62.63,63.09,61.6,62.25,62.68,-0.43,-0.686,35659.72,221807.797
300832.SZ,20251105,63.04,63.8,61.8,62.72,62.25,0.47,0.755,37697.18,237260.033
300832.SZ,20251106,62.76,63.06,61.65,61.98,62.72,-0.74,-1.1798,31591.39,195988.232
300832.SZ,20251107,61.96,62.67,61.65,62.34,61.98,0.36,0.5808,19155.6,119428.608
300832.SZ,20251110,62.37,65.5,62.2,64.03,62.34,1.69,2.7109,41067.59,264351.388
300832.SZ,20251111,64.5,64.69,63.21,64.12,64.03,0.09,0.1406,27778.25,177584.51
300832.SZ,20251112,64.4,67.1,64.05,65.54,64.12,1.42,2.2146,40674.99,269089.376
300832.SZ,20251113,65.5,66.85,65.3,66.18,65.54,0.64,0.9765,32387.5,214125.641
300832.SZ,20251114,66.29,67.18,65.5,65.5,66.18,-0.68,-1.0275,27091.57,179285.08
300832.SZ,20251117,65.65,65.71,63.98,64.74,65.5,-0.76,-1.1603,22067.25,142739.738
300832.SZ,20251118,64.62,65.28,63.8,64.59,64.74,-0.15,-0.2317,17222.25,111227.38
300832.SZ,20251119,64.82,65.42,64.22,64.83,64.59,0.24,0.3716,19618.25,127317.409
300832.SZ,20251120,66.0,66.0,63.3,63.4,64.83,-1.43,-2.2058,20278.66,130141.612
300832.SZ,20251121,63.8,64.04,62.01,62.41,63.4,-0.99,-1.5615,47736.51,299678.733
300832.SZ,20251124,62.41,62.8,60.32,60.35,62.41,-2.06,-3.3008,38968.75,238194.103
300832.SZ,20251125,60.65,61.25,59.16,59.63,60.35,-0.72,-1.193,48451.5,290881.49
300832.SZ,20251126,59.86,60.19,58.57,58.86,59.63,-0.77,-1.2913,35131.86,207433.157
