ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300308.SZ,20251020,408.19,421.21,395.58,403.0,373.6,29.4,7.8694,601550.62,24468412.27
300308.SZ,20251021,410.0,451.48,405.0,441.5,403.0,38.5,9.5533,565178.65,24436154.423
300308.SZ,20251022,436.09,457.5,436.09,444.3,441.5,2.8,0.6342,397499.1,17757275.763
300308.SZ,20251023,441.08,443.0,425.7,440.88,444.3,-3.42,-0.7698,276011.13,12011352.772
300308.SZ,20251024,450.0,495.65,437.1,494.0,440.88,53.12,12.0486,491025.26,23033970.651
300308.SZ,20251027,503.98,515.0,495.56,508.94,494.0,14.94,3.0243,450723.89,22787904.833
300308.SZ,20251028,503.3,536.0,501.0,513.0,508.94,4.06,0.7977,417960.87,21740189.239
300308.SZ,20251029,538.01,542.01,506.16,520.72,513.0,7.72,1.5049,417271.05,21670889.448
300308.SZ,20251030,516.51,538.0,509.0,514.74,520.72,-5.98,-1.1484,453309.84,23600113.527
300308.SZ,20251031,503.0,509.0,472.0,473.01,514.74,-41.73,-8.107,563012.79,27346603.031
300308.SZ,20251103,470.67,483.4,457.51,480.0,473.01,6.99,1.4778,398408.75,18730146.946
300308.SZ,20251104,489.6,504.29,473.88,477.8,480.0,-2.2,-0.4583,360853.68,17622196.968
300308.SZ,20251105,462.02,480.0,458.79,477.01,477.8,-0.79,-0.1653,264087.51,12390456.807
300308.SZ,20251106,488.0,507.88,482.27,496.88,477.01,19.87,4.1655,373251.44,18457495.763
300308.SZ,20251107,491.0,499.79,479.0,490.05,496.88,-6.83,-1.3746,243099.6,11923843.237
300308.SZ,20251110,488.88,495.88,460.0,490.0,490.05,-0.05,-0.0102,352110.79,16744462.629
300308.SZ,20251111,493.68,499.66,464.0,468.05,490.0,-21.95,-4.4796,325131.12,15621818.93
300308.SZ,20251112,459.63,492.39,450.01,491.75,468.05,23.7,5.0636,423022.25,19890723.54
300308.SZ,20251113,489.28,489.28,470.01,481.0,491.75,-10.75,-2.1861,313317.46,15002143.508
300308.SZ,20251114,465.18,473.88,454.22,462.82,481.0,-18.18,-3.7796,247272.66,11512786.152
300308.SZ,20251117,475.2,488.64,468.4,483.2,462.82,20.38,4.4034,282466.26,13512966.106
300308.SZ,20251118,474.7,490.8,470.01,472.91,483.2,-10.29,-2.1296,240678.56,11554982.045
300308.SZ,20251119,472.43,499.7,472.0,488.6,472.91,15.69,3.3178,337865.39,16542781.774
300308.SZ,20251120,515.0,522.38,490.33,492.0,488.6,3.4,0.6959,353522.07,17783386.638
300308.SZ,20251121,472.99,483.0,460.0,464.01,492.0,-27.99,-5.689,414122.8,19479251.604
300308.SZ,20251124,470.0,476.99,436.96,456.8,464.01,-7.21,-1.5538,464258.0,21222535.81
300308.SZ,20251125,477.01,494.8,470.01,479.66,456.8,22.86,5.0044,439364.81,21131904.345
300308.SZ,20251126,475.2,556.88,470.4,543.22,479.66,63.56,13.2511,628951.48,32975131.626
300308.SZ,20251127,537.0,558.77,523.36,524.0,543.22,-19.22,-3.5382,437327.67,23641332.187
300308.SZ,20251128,527.2,529.8,508.6,514.5,524.0,-9.5,-1.813,324657.3,16750682.587
300308.SZ,20251201,524.0,546.5,515.0,538.0,514.5,23.5,4.5675,372867.05,19884723.666
300308.SZ,20251202,542.0,551.13,535.5,542.0,538.0,4.0,0.7435,271615.33,14774407.355
300308.SZ,20251203,540.54,558.58,522.11,523.73,542.0,-18.27,-3.3708,368327.52,19817626.71
300308.SZ,20251204,517.37,536.53,512.34,535.5,523.73,11.77,2.2473,263194.47,13837413.1
300308.SZ,20251205,539.53,545.0,525.0,537.05,535.5,1.55,0.2894,282825.91,15166870.065
300308.SZ,20251208,543.0,585.0,539.0,570.0,537.05,32.95,6.1354,408224.4,23130085.523
300308.SZ,20251209,570.09,613.0,568.54,606.0,570.0,36.0,6.3158,371293.33,22178752.621
300308.SZ,20251210,609.06,620.0,589.5,616.0,606.0,10.0,1.6502,302094.33,18313255.433
300308.SZ,20251211,610.0,627.11,585.91,586.81,616.0,-29.19,-4.7386,363531.25,22007836.033
300308.SZ,20251212,587.0,603.88,570.22,582.0,586.81,-4.81,-0.8197,468789.24,27362453.086
300308.SZ,20251215,570.0,588.0,568.0,570.86,582.0,-11.14,-1.9141,300987.36,17331138.639
300308.SZ,20251216,568.8,575.0,545.01,551.79,570.86,-19.07,-3.3406,279702.37,15609524.937
300308.SZ,20251217,557.0,592.07,556.66,589.98,551.79,38.19,6.9211,323570.08,18602336.343
300308.SZ,20251218,576.99,579.87,563.43,571.2,589.98,-18.78,-3.1832,241628.87,13813326.874
300308.SZ,20251219,583.34,587.0,570.28,571.7,571.2,0.5,0.0875,224429.14,12979061.283
300308.SZ,20251222,590.01,622.0,590.01,617.5,571.7,45.8,8.0112,394411.67,23897727.826
300308.SZ,20251223,625.0,628.99,614.0,621.0,617.5,3.5,0.5668,233642.01,14498372.815
300308.SZ,20251224,627.64,638.0,617.6,634.4,621.0,13.4,2.1578,235091.26,14752690.734
300308.SZ,20251225,645.0,658.8,618.41,639.8,634.4,5.4,0.8512,259387.11,16554891.81
300308.SZ,20251226,628.3,636.95,618.0,627.0,639.8,-12.8,-2.0006,213761.84,13392778.802
300308.SZ,20251229,627.64,633.69,612.73,618.0,627.0,-9.0,-1.4354,241125.83,14961103.073
300308.SZ,20251230,618.1,644.34,615.0,632.0,618.0,14.0,2.2654,261145.4,16460770.395
300308.SZ,20251231,629.0,633.0,608.0,610.0,632.0,-22.0,-3.481,225604.12,13944071.968
300308.SZ,20260105,621.08,627.29,600.17,623.51,610.0,13.51,2.2148,302041.57,18658748.248
300308.SZ,20260106,606.0,615.8,590.2,605.25,623.51,-18.26,-2.9286,335583.27,20243859.699
